"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
148,2007,1,82554.8920248465,"0000210",15.4803449184982,65301.6121481817,104366.645371156,41770.785554993,163159.732494411,"6",545.3,-82009.5920248465,150.393530212445,NA,6
162,2008,1,36720.3216942259,"0000210",19.8144349530501,28279.4218139652,47680.6786997877,17190.1221886097,78439.3508395704,"6",576.9,-36143.4216942259,62.6511036474708,6030.99618995941,1
176,2009,1,57319.7235108934,"0000210",20.7095500774982,44140.4432306462,74434.0215660576,26827.8084542034,122468.099061237,"6",1051,-56268.7235108934,53.5382716564162,6231.5079718406,1
190,2010,1,52521.6181155565,"0000210",20.5426780259723,40737.1426944776,67715.1166483333,25100.6549869933,109898.342131142,"6",546.5,-51975.1181155565,95.1054311355105,6414.47461661385,1
204,2011,1,72795.335481192,"0000210",21.0505478492581,56581.6394221831,93655.1312746468,35004.3855526933,151385.627376384,"6",454.2,-72341.135481192,159.271544432391,6418.54381858455,1
218,2012,1,79999.6488736791,"0000210",20.8820178680953,62550.7419314319,102316.033707922,39136.502923865,163528.760665259,"6",183.1,-79816.5488736791,435.91779832703,6984.81469267998,1
232,2013,1,59236.2252079262,"0000210",21.3931379248275,46387.3707200379,75644.0885184382,29108.6730295742,120545.872129558,"6",335.1,-58901.1252079262,175.771785162418,9448.95421150893,1
246,2014,1,65352.9797297201,"0000210",21.2402569140318,51428.610363692,83047.3918962526,32574.7584659638,131114.155889009,"6",1316.5,-64036.4797297201,48.6414582071554,10217.8757743285,1
260,2015,1,77455.2135116823,"0000210",21.1717131608377,61196.833977736,98033.0142948719,39058.850023801,153596.690544769,"6",268.9,-77186.3135116823,287.044676503095,10269.6888711922,1
274,2016,1,126866.918432409,"0000210",22.8565636768408,99772.4185784841,161319.28264197,63118.7585687576,254998.915655198,"6",247.7,-126619.218432409,511.179727220061,11988.7981680553,1
288,2017,1,93737.500460744,"0000210",23.3917717557673,73791.5020495246,119074.944249418,46770.8730681103,187867.328878644,"6",291.8,-93445.700460744,320.238863813379,15300.6006934436,1
302,2018,1,68093.8828779156,"0000210",23.8614821547477,53669.503337189,86395.0026937987,34095.7400666802,135992.850611931,"6",182.8,-67911.0828779156,371.504829747897,17117.6403134344,3
316,2019,1,41178.0532751892,"0000210",25.4184131172528,32341.3273387447,52429.2665472318,20408.8861572261,83083.02856273,"6",340.7,-40837.3532751892,119.863085633077,19365.1915708015,2
